Date : 2026-04-11 14:49:04
Directory : /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller
Total : 154 files,  7121 codes, 686 comments, 849 blanks, all 8656 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| Go               |        148 |      6,881 |        686 |        818 |      8,385 |
| Markdown         |          3 |        179 |          0 |         31 |        210 |
| Go Checksum File |          1 |         40 |          0 |          0 |         40 |
| Go Module File   |          1 |         20 |          0 |          0 |         20 |
| YAML             |          1 |          1 |          0 |          0 |          1 |
+------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                    | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                       |        154 |      7,121 |        686 |        849 |      8,656 |
| . (Files)                                                                                                                               |          6 |        240 |          0 |         31 |        271 |
| cmd                                                                                                                                     |          6 |        309 |         15 |         20 |        344 |
| cmd/ai-models-artifact-runtime                                                                                                          |          5 |        130 |         15 |         13 |        158 |
| cmd/ai-models-controller                                                                                                                |          1 |        179 |          0 |          7 |        186 |
| internal                                                                                                                                |        142 |      6,572 |        671 |        798 |      8,041 |
| internal/adapters                                                                                                                       |         51 |      2,275 |        240 |        262 |      2,777 |
| internal/adapters/k8s                                                                                                                   |         31 |      1,373 |         60 |        130 |      1,563 |
| internal/adapters/k8s/auditevent                                                                                                        |          1 |         26 |         15 |          7 |         48 |
| internal/adapters/k8s/objectstorage                                                                                                     |          1 |        101 |         15 |         11 |        127 |
| internal/adapters/k8s/ociregistry                                                                                                       |          2 |        268 |         30 |         36 |        334 |
| internal/adapters/k8s/sourceworker                                                                                                      |          9 |        416 |         15 |         44 |        475 |
| internal/adapters/k8s/uploadsession                                                                                                     |         11 |       -251 |        -60 |        -51 |       -362 |
| internal/adapters/k8s/uploadsessionstate                                                                                                |          3 |        591 |         45 |         65 |        701 |
| internal/adapters/k8s/workloadpod                                                                                                       |          4 |        222 |          0 |         18 |        240 |
| internal/adapters/modelformat                                                                                                           |          7 |        -48 |         75 |         17 |         44 |
| internal/adapters/sourcefetch                                                                                                           |         10 |        584 |         60 |         74 |        718 |
| internal/adapters/uploadstaging                                                                                                         |          3 |        366 |         45 |         41 |        452 |
| internal/adapters/uploadstaging/s3                                                                                                      |          3 |        366 |         45 |         41 |        452 |
| internal/application                                                                                                                    |         20 |        910 |         60 |         91 |      1,061 |
| internal/application/deletion                                                                                                           |          2 |        344 |          0 |         23 |        367 |
| internal/application/publishaudit                                                                                                       |          2 |        207 |         30 |         29 |        266 |
| internal/application/publishobserve                                                                                                     |          8 |         41 |          0 |          3 |         44 |
| internal/application/publishplan                                                                                                        |          6 |         90 |          0 |          3 |         93 |
| internal/application/sourceadmission                                                                                                    |          2 |        228 |         30 |         33 |        291 |
| internal/artifactbackend                                                                                                                |          4 |       -198 |        -68 |        -49 |       -315 |
| internal/bootstrap                                                                                                                      |          2 |         48 |          0 |          0 |         48 |
| internal/cmdsupport                                                                                                                     |          2 |         47 |         15 |         11 |         73 |
| internal/controllers                                                                                                                    |         22 |        911 |        135 |        135 |      1,181 |
| internal/controllers/catalogcleanup                                                                                                     |         16 |        726 |        120 |        109 |        955 |
| internal/controllers/catalogstatus                                                                                                      |          6 |        185 |         15 |         26 |        226 |
| internal/dataplane                                                                                                                      |         13 |      1,074 |        105 |        130 |      1,309 |
| internal/dataplane/artifactcleanup                                                                                                      |          1 |         18 |          0 |          0 |         18 |
| internal/dataplane/publishworker                                                                                                        |          6 |        191 |         45 |         26 |        262 |
| internal/dataplane/uploadsession                                                                                                        |          6 |        865 |         60 |        104 |      1,029 |
| internal/domain                                                                                                                         |         12 |      1,124 |         90 |        141 |      1,355 |
| internal/domain/ingestadmission                                                                                                         |          4 |        516 |         60 |         83 |        659 |
| internal/domain/publishstate                                                                                                            |          8 |        608 |         30 |         58 |        696 |
| internal/ports                                                                                                                          |          5 |        107 |         30 |         24 |        161 |
| internal/ports/auditsink                                                                                                                |          1 |         10 |         15 |          5 |         30 |
| internal/ports/publishop                                                                                                                |          3 |         14 |          0 |         -1 |         13 |
| internal/ports/uploadstaging                                                                                                            |          1 |         83 |         15 |         20 |        118 |
| internal/publicationartifact                                                                                                            |          4 |        166 |         64 |         43 |        273 |
| internal/publishedsnapshot                                                                                                              |          1 |          9 |          0 |          0 |          9 |
| internal/support                                                                                                                        |          6 |         99 |          0 |         10 |        109 |
| internal/support/cleanuphandle                                                                                                          |          2 |         31 |          0 |          3 |         34 |
| internal/support/modelobject                                                                                                            |          1 |         20 |          0 |          2 |         22 |
| internal/support/resourcenames                                                                                                          |          2 |         18 |          0 |          3 |         21 |
| internal/support/testkit                                                                                                                |          1 |         30 |          0 |          2 |         32 |
+-----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                                                                | language         | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/README.md                                                     | Markdown         |         48 |          0 |          0 |         48 |
| /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/STRUCTURE.ru.md                                               | Markdown         |         12 |          0 |         13 |         25 |
| /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/TEST_EVIDENCE.ru.md                                           | Markdown         |        119 |          0 |         18 |        137 |
| /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/cmd/ai-models-artifact-runtime/artifact_cleanup.go            | Go               |         10 |          0 |          1 |         11 |
| /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/cmd/ai-models-artifact-runtime/dispatch.go                    | Go               |          1 |          0 |          0 |          1 |
| /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/cmd/ai-models-artifact-runtime/publish_worker.go              | Go               |         40 |          0 |          1 |         41 |
| /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/cmd/ai-models-artifact-runtime/staging_config.go              | Go               |         16 |         15 |          4 |         35 |
| /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/cmd/ai-models-artifact-runtime/upload_session.go              | Go               |         63 |          0 |          7 |         70 |
| /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/cmd/ai-models-controller/run.go                               | Go               |        179 |          0 |          7 |        186 |
| /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/go.mod                                                        | Go Module File   |         20 |          0 |          0 |         20 |
| /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/go.sum                                                        | Go Checksum File |         40 |          0 |          0 |         40 |
| /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/auditevent/recorder.go                  | Go               |         26 |         15 |          7 |         48 |
| /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/objectstorage/projection.go             | Go               |        101 |         15 |         11 |        127 |
| /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/ociregistry/projection.go               | Go               |        167 |         15 |         23 |        205 |
| /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/ociregistry/projection_test.go          | Go               |        101 |         15 |         13 |        129 |
| /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/sourceworker/build.go                   | Go               |         42 |          0 |          4 |         46 |
| /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/sourceworker/build_test.go              | Go               |         46 |          0 |          4 |         50 |
| /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/sourceworker/preflight.go               | Go               |         67 |         15 |         11 |         93 |
| /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/sourceworker/service.go                 | Go               |         86 |          0 |          8 |         94 |
| /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/sourceworker/service_roundtrip_test.go  | Go               |          5 |          0 |          0 |          5 |
| /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/sourceworker/service_test.go            | Go               |        108 |          0 |         15 |        123 |
| /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/sourceworker/test_helpers_test.go       | Go               |         28 |          0 |          0 |         28 |
| /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/sourceworker/validation.go              | Go               |         26 |          0 |          2 |         28 |
| /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/sourceworker/validation_test.go         | Go               |          8 |          0 |          0 |          8 |
