"filename", "language", "Markdown", "YAML", "Go Module File", "Go Checksum File", "Go", "Shell Script", "comment", "blank", "total"
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/README.md", "Markdown", 200, 0, 0, 0, 0, 0, 0, 7, 207
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/STRUCTURE.ru.md", "Markdown", 250, 0, 0, 0, 0, 0, 0, 57, 307
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/TEST_EVIDENCE.ru.md", "Markdown", 198, 0, 0, 0, 0, 0, 0, 33, 231
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/cmd/ai-models-artifact-runtime/artifact_cleanup.go", "Go", 0, 0, 0, 0, 37, 0, 15, 11, 63
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/cmd/ai-models-artifact-runtime/dispatch.go", "Go", 0, 0, 0, 0, 27, 0, 15, 7, 49
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/cmd/ai-models-artifact-runtime/main.go", "Go", 0, 0, 0, 0, 5, 0, 15, 4, 24
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/cmd/ai-models-artifact-runtime/publish_worker.go", "Go", 0, 0, 0, 0, 123, 0, 15, 13, 151
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/cmd/ai-models-artifact-runtime/staging_config.go", "Go", 0, 0, 0, 0, 16, 0, 15, 4, 35
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/cmd/ai-models-artifact-runtime/upload_session.go", "Go", 0, 0, 0, 0, 116, 0, 15, 18, 149
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/cmd/ai-models-controller/main.go", "Go", 0, 0, 0, 0, 5, 0, 15, 4, 24
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/cmd/ai-models-controller/run.go", "Go", 0, 0, 0, 0, 299, 0, 15, 21, 335
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/go.mod", "Go Module File", 0, 0, 83, 0, 0, 0, 0, 5, 88
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/go.sum", "Go Checksum File", 0, 0, 0, 179, 0, 0, 0, 1, 180
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/install-kitops.sh", "Shell Script", 0, 0, 0, 0, 0, 73, 16, 13, 102
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/auditevent/recorder.go", "Go", 0, 0, 0, 0, 26, 0, 15, 7, 48
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/objectstorage/projection.go", "Go", 0, 0, 0, 0, 101, 0, 15, 11, 127
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/ociregistry/projection.go", "Go", 0, 0, 0, 0, 167, 0, 15, 23, 205
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/ociregistry/projection_test.go", "Go", 0, 0, 0, 0, 101, 0, 15, 13, 129
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/ociregistry/render.go", "Go", 0, 0, 0, 0, 60, 0, 15, 12, 87
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/ociregistry/render_test.go", "Go", 0, 0, 0, 0, 18, 0, 15, 7, 40
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/ownedresource/lifecycle.go", "Go", 0, 0, 0, 0, 77, 0, 15, 13, 105
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/ownedresource/lifecycle_test.go", "Go", 0, 0, 0, 0, 90, 0, 15, 20, 125
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/sourceworker/auth_secret.go", "Go", 0, 0, 0, 0, 118, 0, 15, 17, 150
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/sourceworker/auth_secret_test.go", "Go", 0, 0, 0, 0, 88, 0, 15, 13, 116
