"filename", "language", "Markdown", "Go", "comment", "blank", "total"
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/README.md", "Markdown", 40, 0, 0, 0, 40
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/STRUCTURE.ru.md", "Markdown", 103, 0, 0, 10, 113
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/TEST_EVIDENCE.ru.md", "Markdown", 375, 0, 0, 40, 415
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/cmd/ai-models-artifact-runtime/artifact_cleanup.go", "Go", 0, 14, 0, 3, 17
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/cmd/ai-models-artifact-runtime/dispatch.go", "Go", 0, 32, 0, 4, 36
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/cmd/ai-models-artifact-runtime/dispatch_test.go", "Go", 0, 55, 15, 10, 80
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/cmd/ai-models-artifact-runtime/materialize_artifact.go", "Go", 0, 56, 15, 14, 85
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/cmd/ai-models-artifact-runtime/materialize_artifact_test.go", "Go", 0, 100, 15, 11, 126
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/cmd/ai-models-artifact-runtime/publish_worker.go", "Go", 0, 33, 0, 4, 37
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/cmd/ai-models-artifact-runtime/upload_session.go", "Go", 0, 24, 0, 4, 28
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/cmd/ai-models-controller/config.go", "Go", 0, 202, 15, 17, 234
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/cmd/ai-models-controller/env.go", "Go", 0, 70, 15, 10, 95
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/cmd/ai-models-controller/resources.go", "Go", 0, 70, 15, 8, 93
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/cmd/ai-models-controller/run.go", "Go", 0, -219, 0, -4, -223
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/cmd/ai-models-controller/run_test.go", "Go", 0, 24, 15, 8, 47
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/auditevent/recorder.go", "Go", 0, 41, 0, 4, 45
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/auditevent/recorder_test.go", "Go", 0, 56, 15, 10, 81
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/objectstorage/projection.go", "Go", 0, -101, -15, -11, -127
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/sourceworker/auth_secret.go", "Go", 0, -24, 0, -3, -27
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/sourceworker/auth_secret_test.go", "Go", 0, -49, 0, -5, -54
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/sourceworker/build.go", "Go", 0, -25, 0, -1, -26
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/sourceworker/build_test.go", "Go", 0, -47, 0, -13, -60
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/sourceworker/preflight.go", "Go", 0, -43, 0, -7, -50
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/sourceworker/service.go", "Go", 0, -3, 0, 0, -3
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/sourceworker/service_test.go", "Go", 0, -43, 0, -7, -50
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/sourceworker/test_helpers_test.go", "Go", 0, 2, 0, 0, 2
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/sourceworker/validation.go", "Go", 0, 5, 0, 0, 5
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/sourceworker/validation_test.go", "Go", 0, -21, 0, 0, -21
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/storageprojection/projection.go", "Go", 0, 102, 15, 11, 128
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/uploadsession/handle.go", "Go", 0, 105, 15, 11, 131
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/uploadsession/lifecycle.go", "Go", 0, 169, 15, 13, 197
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/uploadsession/service.go", "Go", 0, -135, 0, -7, -142
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/uploadsession/service_lifecycle_test.go", "Go", 0, 247, 15, 37, 299
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/uploadsession/service_phase_sync_test.go", "Go", 0, 96, 15, 12, 123
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/uploadsession/service_test.go", "Go", 0, -150, 0, -19, -169
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/uploadsession/status.go", "Go", 0, 43, 0, 5, 48
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/uploadsession/sync.go", "Go", 0, 53, 15, 10, 78
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/uploadsessionstate/client.go", "Go", 0, -3, 0, 4, 1
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/uploadsessionstate/multipart_state.go", "Go", 0, 106, 15, 11, 132
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/uploadsessionstate/phase_mutation.go", "Go", 0, 103, 15, 10, 128
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/uploadsessionstate/secret.go", "Go", 0, -23, 0, -2, -25
